Book Id,Title,Author,Additional Authors,ISBN,MyRating,AverageRating,Publisher,Binding,Pages,Year Published,PublicationYear,YearRead,DateRead,Date Added,Bookshelves,Bookshelves with positions,ExclusiveShelf,My Review,ReadCount
35655198,The Spy with No Name,Jeff Maysh,Graham Vick,1543642187,5,3.35,Audible Studios on Brilliance Audio,Audio CD,,2017,,2019,8/8/19,8/8/19,,,read,"A very, very short story of a spy with 'no-name'. I can sketch it: Someone got pregnant. She left the child for donkey years, only to start searching for her child, who is now a grown-up man. She finally found a spy who is the child, except that he was not. The spy played along brilliantly, but, you know how these things work -  it's only a matter of time. I can only imagine what a great movie this story could make. 5 stars!",1
40915762,Deep Medicine: How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,,1541644638,5,4.03,Basic Books,Hardcover,400,2019,,2019,8/19/19,7/17/19,,,read,"Okay. <br/><br/>This one is a good read. I have read a few materials on AI and biology (medicine), but this one stands out. The fourth industrial revolution had begun, and Dr Topol managed to map out how AI is impacting, and will impact, medicine. Perhaps you know of how instagram photos had been used to reveal predictive markers of depression. Or how scientists are using AI to predict time of death. Skin cancer detection with your smartphone. Mobile apps for medical diagnosis. Drug discovery insilico. What can I say:  new world, new times.",1
29889541,Machine Learning,Ethem Alpaydin,,262529513,4,3.59,MIT Press,Paperback,224,2016,,2019,6/11/19,4/16/19,,,read,"Great introduction to Machine Learning. To read through seamlessly, some very basic knowledge of CS and stats would help a great deal. Having taken a graduate level class in statistical learning this was a light read, except for a few sections on deep learning. My favorite parts of the book are Ethem's salutary use of analogies like, 'learning with a critic' for reinforcement learning; 'learning with a teacher' for supervised learning; 'learning without a teacher' for unsupervised learning; and a whole lot of those handy goodies. In general, this is a little nice book on a technology that is rapidly changing the way we live! From digital medical diagnosis, to Alexa, to amazon go.",1
44770129,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,,,0,4.13,HarperBusiness,Kindle Edition,304,2019,,,,8/12/19,currently-reading,currently-reading (#2),currently-reading,,1
43812079,Talking to Strangers: What We Should Know about the People We Don’t Know,Malcolm Gladwell,,241351561,0,4.05,Allen Lane,Hardcover,320,2019,2019,,,8/11/19,to-read,to-read (#120),to-read,,0
38745898,"Storey's Guide to Raising Pigs, 4th Edition: Care, Facilities, Management, Breeds",Kelly Klober,,1635860423,4,4.01,"Storey Publishing, LLC",Paperback,344,2018,1997,2019,8/1/19,7/15/19,,,read,"This is the first text I am reading on the subject, so I lack some comparative abilities here. However, this contains virtually every thing I wanted to learn about raising pigs, and that's good enough for me. ",1
24857265,Understanding the Mysteries of Human Behavior,Mark R. Leary,,,5,4.18,The Great Courses,Audible Audio,13,2013,2013,2019,6/23/19,12/28/18,,,read,"From love, gender differences, to self control - the psychology of everything. I learnt a lot!",1
46429934,AI tackles Biology: How Machine Learning will Revolutionize Science and Medicine,The Scientist,,,5,5,,Magazine,64,2019,,2019,7/19/19,6/23/19,,,read,"I wanted something up to date on AI in biology, and this 'The Scientist' issue was just what I needed. A whole lot is going on at the interface of AI and biology. Here are few updates 1) NPL has been used to detect diseases like psychosis, addiction, and depression; 2) ML is used to detect if a cell is infected by pathogens; 3)QSAR is being powered by sophisticated ML algorithms for drug discovery; 4) from images, histopathology slides, and various -omics profiles, ML can now predict cancer diagnosis, tumor evolution, and treatment; 5) AI can now detect and differentiate weed from crops with some 90% accuracy; 6) AI can now predict how fire moves 7) predicts drought 8) predicts floods 9) predicts repairs made to DNA snipped with cas9; and a whole lot more. <br/><br/>The flood is here, and I will borrow the words of the legendary African musician, Fela Kuti: 'who no know go know', meaning the folks who don't know (about the power of AI) will soon know.",1
13234710,The Founder's Dilemmas: Anticipating and Avoiding the Pitfalls That Can Sink a Startup,Noam Wasserman,,691149135,0,4.07,Princeton University Press,Hardcover,496,2012,2011,,,6/28/19,currently-reading,currently-reading (#1),currently-reading,,1
9717,The Unbearable Lightness of Being,Milan Kundera,Michael Henry Heim,571224385,4,4.09,Harper Perennial,Paperback,320,2009,1984,2018,11/17/18,11/8/18,,,read,"Okay, I don't really get this; Kundera contrasted an idea(the unbearable lightness of Being) with Nietzsche's eternal return. I will summarize. Because we only get to live life once, then life has to be meaningless. And by ascribing meaning to life we become 'weighty', but it's only a matter of time before we become awakened to our 'authenticity' (a state of Being where you discover that life is meaningless). But the whole argument is disturbingly irrational: ""just because we only get to live life once"" then life has to be meaningless? <br/>That being said, the book is very deep. It's a great work of literature. ",1
34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,,1250170974,3,4.16,Henry Holt Books for Young Readers,Hardcover,544,2018,2018,2019,6/13/19,4/8/19,,,read,"I was excited to read Tomi's book, especially when I heard it uses Yoruba mythology extensively. The book started so strong, and I was liking it, but I got lost somewhere in middle. It got tedious, I would say, somewhat repetitive. A lot of folks like this book, which lead me to pick it up in the first place but I will say 3 stars (may be I will like the movie, :) the story is good). ",1
32899495,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,,,0,4.56,O'Reilly Media,Kindle Edition,450,2017,2017,,,6/7/19,to-read,to-read (#119),to-read,,0
11500159,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,,,3,4.07,,Kindle Edition,338,,2011,2019,6/1/19,3/25/19,,,read,"Start-up is all about building something awesome in an atmosphere of huge uncertainty. Needless to say, the anatomy of getting a PhD, in say, experimental biology,  is akin to getting a Startup going. It's all about starting your experiments (and doing that as lean as possible), you get your data, you learn, you pivot or you preserve (or you patch). And the cycle continues. The lean startup tells the story in all it's boring details. A good book but the writing style isn't the best. But I can imagine an entrepreneur being cool with just that. ",1
18050049,Plato at the Googleplex: Why Philosophy Won't Go Away,Rebecca Goldstein,,307378195,5,3.83,Pantheon,Hardcover,461,2014,2014,2019,5/26/19,4/26/19,,,read,,1
19091915,Contemporary Debates in Philosophy of Science,Christopher Hitchcock,,470794097,0,3.67,Wiley-Blackwell,ebook,368,2008,2004,,,5/12/19,to-read,to-read (#118),to-read,,0
4855,How to Live on 24 Hours a Day,Arnold Bennett,,1406922900,5,3.66,Hard Press,Paperback,92,2006,1908,2019,5/1/19,4/29/19,,,read,"I enjoyed reading this slim book from 1910. I enjoyed it because of it's bluntness, it's truths. Anyone who had read a few Cal Newport's book would enjoy it. Needless to say Bennett's book is one of the prominent 'primary literatures' in most Newport's productivity books and essays, especially Deep Work. In this book Bennett addresses the 'salarymen' to seize their leisure time to drastically improve themselves. And he does a good job of exposing a great deal of free time that usually go untapped - early mornings, travel time to and from work, evenings, and weekends. I have attempted most of the 'tricks' in this book and it works too well but not without developing a very strong self discipline. He says, ""which of us lives on twenty-four hours a day? And when I say 'lives', I do not mean exists, nor 'muddles through'...""",1
35515575,The True Life,Alain Badiou,,1150951489,4,3.7,,Paperback,101,2017,2016,2019,4/27/19,2/8/19,,,read,,1
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,,,4,4.07,Portfolio,Kindle Edition,302,2019,2019,2019,4/13/19,11/13/18,,,read,"Neat book, but a bit light. For anyone alive today, there is a high probability that the digital world (media) is interfering with the quality of your life, even if you don't know it. In other words there are debris needed to be cleared. If clearing such quality-vitating debris is a must for you, Jaron Lanier's Ten Arguments for Deleting Your Social Media Accounts; and Cal's Digitalism Minimalism are must-reads.",1
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,Blake  Masters,804139296,2,4.16,Crown Business,Hardcover,195,2014,2014,2019,4/11/19,7/28/16,,,read,"Zero to One is an OK book if you don't know anything about startups. Like, anything. Peter Thiel, here, espouses his own philosophy about entrepreneurship and it oozes common sense.  ",1
13588385,There Was a Country: A Personal History of Biafra,Chinua Achebe,,1594204829,4,3.93,Penguin Press,Hardcover,352,2012,2012,2019,3/17/19,3/11/19,,,read,"I wondered why this isn't taught in history classes in Nigerian schools. After spending twenty or so years in several Nigeria educational institutions, I had no idea that I had no idea of the deep schism at Nigeria's birth, especially the big one manifested in the Biafra war. And so you know, I am NOT the type that skips classes or fails to write notes. <br/><br/>In this book, Chinua Achebe narrated his own personalized history of the Biafra war starting with his childhood and initial education under the British system, and the he transitioned to the gory periods after the Nigerian independence. First, the January 15 1966 coup championed by two soldiers. This lead to the death of several people from the Northern extraction of the country including the prime minister of Nigeria, Tafawa Balewa. In certain quarters, especially in the North, the coup was believed to be an Igbo coup, because it was lead by soldiers of the Eastern extraction of the country. <br/><br/>And of course you begin to have this back and forth thing, starting with the 1966 counter-coup (July rematch) where, the north retaliated; in between you have the 1966 anti-Igbo pogrom. All laying a deadly foundation for the Biafra war which ended in unfathomable massacres with millions of Biafrans dead of starvation. And of course the 'war' did not end after the war. <br/><br/>As I read through the book, it made perfect sense while the country is still confused up until today, and at some point, I asked the obvious question: ""If the foundations are destroyed, what can the righteous do?”",1
32283133,"Origin (Robert Langdon, #5)",Dan Brown,,385514239,2,3.85,Doubleday Books,Hardcover,461,2017,2015,2019,3/15/19,3/9/18,,,read,"Origin is a novel that tells the story of a billionaire computer scientist, Edmond Kirsch, who simulated the origin of the world to show that life can be produced from just the law of gravity. In the middle of  all of these, some weird ultra-conservative Catholic sect got caught up in Edmond's murder.  <br/><br/>Apart from the exhausted nature of this novel's plot, it's so tiring to continue to see how shallow ideas about the origin of the universe are continued to be promoted. How on earth does a law of anything abhors a creative force? I am surprised I was able to finish the book, and I will blame that on the extremely popular, sunk cost effect. ",1
11977494,The Miracle of Self-Discipline,Brian Tracy,محمد اسکندری,1908364041,4,4.09,Nightingale Conant,Audio CD,36,2010,2010,2014,6/1/14,1/9/15,,,read,,1
36490332,"Talking to My Daughter About the Economy: or, How Capitalism Works - and How It Fails",Yanis Varoufakis,Jacob Moe,,5,4.04,"Farrar, Straus and Giroux",Kindle Edition,226,2018,2013,2019,2/24/19,1/30/19,,,read,"This books tells you exactly how capitalism works. And the moment you see how it works you cannot but see how it fails. <br/><br/>Feudalism was the thing before capitalism. Where the 'king' owns the land, and gives to his subjects as politics dictates. These aristocrats own serfs and make them work on their lands, and there it goes: you get production of products (by the serf), followed by distribution (lords consume their bits and sell the rest), and then we can talk credits and debits. <br/><br/>However, when the merchants were becoming massively rich from global trades, local landowners in England and Scotland decided to follow suit. And what happened is the commodification of land and labor which lead to the great reversal - distribution now precedes production. This is the birth of capitalist societies and it created humongous wealth and productivity.<br/><br/>But, it came with a price: misery and poverty for the majority, with a tiny proportion of the population owning almost all the wealth. Sounds familiar? And not only that, the moment profit becomes the main goal, commodification of almost anything becomes attractive, even if it leads to the destruction of the planet. Sounds familiar? And of course the system crashes every now and then because of the black magic of bankers, irresponsibilities of politicians, and the funny behavior of money and human labor.<br/><br/>Not much is said about clearing these debris, but I have to say: Yanis's little book is one of the most accessible books I have read about the economy.",1
3428252,Payback: Debt and the Shadow Side of Wealth,Margaret Atwood,,887848001,0,3.73,House of Anansi Press,Paperback,203,2008,2007,,,2/22/19,to-read,to-read (#117),to-read,,0
155,Anna Karenina,Leo Tolstoy,"Amy Mandelker, Constance Garnett",1593080271,0,4.04,Barnes & Noble Classics,Paperback,803,2003,1877,,,2/20/19,to-read,to-read (#116),to-read,,0
42371002,Can Science Explain Everything?,John C. Lennox,,1784984116,5,4.52,The Good Book Company,Paperback,128,2019,,2019,2/12/19,2/2/19,,,read,"Short answer,  No.<br/>If you have read Gunning for God, Seven days that divide the world, and God and Stephen Hawkings, all by the same author, this book becomes redundant. I have read all three.<br/><br/>However, that doesn't take away from the importance of the subject discussed. Prof Lennox continues to stress why it is extremely important to understand the limits of science and the explanatory capacity of science.<br/><br/>How can (possibly) a law of gravity create something? How can any law create anything? Does the law of arithmetics ever drop money into your pocket?<br/>Is reason a 'subject' of science? Can't we reason outside of science? Does Science compete with God as an explanation? How about the evolutionary argument against naturalism? <br/><br/>Like I stated in the past, Prof Lennox always deliver the cargo. A refreshing read.<br/>",1
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,,60589469,5,3.77,HarperTorch,Mass Market Paperback,540,2006,1974,2019,1/29/19,6/28/18,,,read,"There are so many things going on in this book - it's almost impossible to review. The author, his son Chris, and some friends rode across the West (the United States) on their motorcycles. In the course of the journey, the author gave series of 'lectures' he called Chautauquas majorly on epistemology and philosophy of science. He teaches Quality, which could be taken literally at the most practical level. <br/><br/>Going deeper, he talks a lot about the Metaphysics of Quality (MoQ).<br/><br/>Here I will focus of MoQ.<br/><br/>Empiricism is the theory that all knowledge comes from sense-experience, and right off the bat, you see that empiricism accommodates perfectly metaphysical features of the world: arts, morality, religion, and all of those things. <br/><br/>However, these metaphysical features are claimed by scientism to be unreal. This exclusion on the basis of un-realness springs from an assumption, a yuggeeee (metaphysical) assumption, which itself is not verifiable (via science). <br/><br/>Prisig went beyond this object-subject 'obsession' of science to a whole different level. He claims that all things that exists are values or quality (note that 'objects' and 'subjects' themselves are as a result of quality), and they can be unpacked into two categories: 1) Dynamic Quality 2) Static quality. <br/><br/>Dynamic Quality (with a capital letter Q) can't be defined aptly in words, as it's existence is perceived before any intellectual assembly is possible. While static quality refer to all concepts that can be captured empirically. The implication of this run deep: MoQ becomes more empirical than science...<br/><br/>“What is good, Phaedrus, and what is not good – need we ask anyone to tell us these things?” <br/><br/>This is one of the greatest philosophical fiction I have read so far.",1
12926432,Lady Almina and the Real Downton Abbey: The Lost Legacy of Highclere Castle,Fiona Carnarvon,,770435629,3,3.63,Broadway Books,Paperback,310,2011,2011,2019,1/13/19,1/8/19,,,read,"Spent a fair chunk of my Christmas break watching the hit series downtown abbey, and I thought I should pick up a book about the British aristocracy of the time.<br/><br/>I did.<br/><br/>The book is mainly about the Almina Herbert, Countess of Carnarvon, the wife of George, the 5th Earl of Carnarvon. It bears so many semblances with the hit series, and it was lovely to read.   ",1
5470,1984,George Orwell,Erich Fromm,,0,4.17,New American Library,Mass Market Paperback,328,1950,1949,,,1/12/19,to-read,to-read (#115),to-read,,0
42899625,Arguing Religion: A Bishop Speaks at Facebook and Google,Robert E. Barron,,1943243379,5,4.51,Word on Fire,Hardcover,122,2018,2018,2019,1/3/19,12/21/18,,,read,"Bishop Barron does a two step job in this book. In the first step, he argues against things like scientism, straw-man arguments, fideism, voluntarism, and so on, and so on. Finally, he argues for arguing religion. <br/><br/>In the second part, he does something totally beautiful through the help of Thomas Aquinas (the spiritual master). He demonstrated the fragility of our search for happiness in the materialistic sense. And this is exactly what the praticing absurdist/nihilist discovers (those folks get the point). He concludes: our search for happiness (should) leads us to God.",1
1854790,Applied Multivariate Statistical Analysis,Richard A.  Johnson,Dean W. Wichern,130925535,0,4.07,Prentice Hall,Hardcover,767,2001,1982,,,1/10/19,to-read,to-read (#114),to-read,,0
1309993,Particle Physics For Non Physicists: A Tour Of The Microcosmos,Steven Pollock,,1565856279,0,4.27,Teaching Company,Audio Cassette,200,,2003,,,1/8/19,to-read,to-read (#113),to-read,,0
41391947,More with less: welcome to the precision economy,Alle Bruggink,Diederik van der Hoeven,9082276011,0,0,Biobased Press,Hardcover,320,2017,,,,1/4/19,to-read,to-read (#112),to-read,,0
2945975,Thomas Aquinas: Spiritual Master,Robert E. Barron,,824524969,0,4.29,Crossroad,Paperback,192,2008,1996,,,1/2/19,to-read,to-read (#111),to-read,,0
11527504,A Little History of Philosophy,Nigel Warburton,,300152086,4,4.12,Yale University Press,Hardcover,252,2011,2011,2018,12/11/18,11/26/18,,,read,"Another aerial view of western philosophy.<br/><br/>Socrates, Plato, Aristotle, Pyrrho, Epicurus, Epictectus, Cicero, Seneca, Augustine, Boethius, Anselm, Aquinas, Niccolo Machiavelli, Thomas Hobbes, René Descartes, Blaise Pascal, Baruch Spinoza, John Locke, Thomas Reid, George Berkeley, Voltaire, Gottfreid Leibniz, David Hume, Jean-Jacques Rousseau, Immanuel Kant, Jeremy Bentham, Hegel, Arthur Schopenhauer, John Stuart Mill, Charles Darwin, Soren Kierkegaard, Karl Marx, C.S. Peirce, William James, Friedrich Nietzsche, Sigmund Freud, Bertrand Russel, Alfred Jules Ayer, Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Ludwig Wittgenstein, Hannah Arendt, Karl Popper, Thomas Kuhn, Philippa Foot, Judith Jarvis Thomson, John Rawls, Alan Turing, John Searle and Peter Singer.<br/><br/>All in 250 pages. Very easy to read and concise, no philosophical jargon. Will be great for a beginner.",1
230733,Straw Dogs: Thoughts on Humans and Other Animals,John N. Gray,,1862075964,2,3.95,Granta Books,Paperback,246,2003,2002,2018,4/27/18,4/17/18,,,read,"Like the abstract says, ‘Straw Dogs’ is a radical work of philosophy that challenges our most cherished assumptions about what it means to be human. Some brilliant ideas, unconformable to read, misanthropic, devastatingly depressing, and a bit hard to digest. Perhaps that’s one of the roles of a philosopher, to make you as unconformable as you could possibly get. However, I see the book primarily as a devil’s advocate nothing more, all these ‘humans are no different from a fish’ are just utter nonsense.",1
13035774,This Will Make You Smarter: New Scientific Concepts to Improve Your Thinking,John Brockman,,62109391,4,3.8,Harper Perennial,Paperback,399,2012,2012,2016,4/26/16,2/6/16,,,read,"A collection of essays from some on the world most brilliant thinkers on cognition and decision making. Nassim Nicholas Taleb, Richard Dawkins, Brian Eno, Steven Pinker, Daniel Kahneman etc. This will make you smarter.",2
36064445,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,,241300657,4,3.84,Allen Lane,Paperback,272,2018,2018,2018,3/5/18,2/27/18,,,read,"I typically follow the advice of Lindy with books (i.e. reading older surviving text is more benefitable), however, this is one of my few exceptions, as the author is a very wise man.<br/><br/>We will live in a much better world if (some) Taleb’s idea in SITG, are popularized, debated, and institutionalized (where possible). And what exactly is the book about? It is about fairness, it is about the silver rule, it’s about what the book screams… skin in the game. It’s about, if you are going to be cooking, be ready to eat your cooking.",1
2570,The Lion and the Jewel,Wole Soyinka,,199110832,3,3.78,"Oxford University Press, USA",Paperback,65,1990,1962,2018,1/10/18,1/2/18,,,read,A Play by an African Nobel Laureate. It explores the rapid modernization of Africa in the 60s.,1
969548,Kurunmi (Three Crowns),Ola Rotimi,,195751736,4,3.76,"University Press plc, Nigeria (OUP Nigeria)",Paperback,95,1985,1985,2018,1/5/18,1/2/18,,,read,"Kurunmi is a historical war play staged sometimes in the 19thcentury. Aare Kurunmi, the protagonist, occupies the position of war-general-cum-defense-ministerof the disintegrating Oyo empire of the West Africa. The author (knowingly or unknowingly) explores the skin-in-the-game philosophy, where leaders lead with their skin in the game. In shorts when a leader cooks, they eat from their own cooking very quickly. The way things are supposed to be, not the baloney set-up we have in today’s world    <br/><br/>Aare Kurunmi's skin-in-the-gamephilosophy is particularly penetrating - he went to war with his 5 sons! Fighting at the forefront, where the battle boils of the greatest heat. And, well, the sad part: they all died. A leader should lead right in front, with all his skin in the game. If a leader calls for ‘war’, let them go to ‘war’.<br/><br/>And what led me to the book? My study of the Old Oyo Empire and a beautiful song titled Kurunmi by Beautiful Nubia.",1
25407018,Data Science from Scratch: First Principles with Python,Joel Grus,,,5,3.93,O'Reilly Media,Kindle Edition,330,2015,2015,2018,12/30/18,8/15/18,,,read,"I covered a large swath of the content in this book, especially the parts on Python’s anatomy. I enjoyed it; it’s bringing me up to speed on data science.",1
29527522,The Secret of Fatima,Peter J. Tanous,,1504035119,5,3.44,Liberty Island,Paperback,326,2016,,2018,9/23/18,9/19/18,,,read,"A Catholic priest crossed with James Bond. A quick, absorbing read. ",1
38364549,The Diabetes Code: Prevent and Reverse Type 2 Diabetes Naturally,Jason Fung,Nina Teicholz,1771642653,5,4.57,"Greystone Books,Canada",Paperback,288,2018,2018,2018,6/27/18,6/18/18,,,read,A Paradigm Shift. <br/><br/>The knowledge in this book will save lives.,1
30813429,Great Thinkers: Simple Tools from 60 Great Thinkers to Improve Your Life Today,The School of Life,,,3,4.44,,,,,,2018,12/14/18,9/28/18,,,read,"A demystified, short version of the works of some great western thinkers. It covers philosophy, psychoanalysis, literature, and so on, and so on. ",1
25263557,The Meursault Investigation,Kamel Daoud,John Cullen,1590517512,0,3.49,Other Press,Paperback,143,2015,2013,,,12/11/18,to-read,to-read (#110),to-read,,0
49552,The Stranger,Albert Camus,Matthew    Ward,,3,3.97,Vintage International,Paperback,123,1989,1942,2018,12/11/18,11/11/18,,,read,"The stranger is an absurdist and existentialist novel. It rests on the assumption that life is meaningless, and then, very quickly, you see the utter meaninglessness that pervades such philosophy when acted out. Apart from the philosophy that undergirds the novel, one of the 'features' unpacked was the fragility of the justice system, where Meursault, the protagonist, was sentenced to death because 'he failed to cry at his mother funeral' (roughly speaking). Finally, the Stranger is a deceptively simple book. ",1
36628413,The Future of Capitalism: Facing the New Anxieties,Paul Collier,,62748661,0,3.89,Harper,Hardcover,256,2018,2018,,,11/16/18,to-read,to-read (#109),to-read,,0
36722636,The Deep Learning Revolution,Terrence J. Sejnowski,,026203803X,0,3.83,Mit Press,Hardcover,352,2018,2018,,,10/23/18,to-read,to-read (#108),to-read,,0
49455,Notes from Underground,Fyodor Dostoyevsky,"Richard Pevear, Philip Dossick, Larissa Volokhonsky",067973452X,0,4.16,Vintage Classics,Paperback,136,1994,1864,,,11/10/18,to-read,to-read (#107),to-read,,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,,525512179,3,4.19,Spiegel & Grau,Hardcover,372,2018,2018,2018,11/8/18,9/11/18,,,read,"No need to say, but I will say anyways, Dr Harari is brilliant. His insights on technology, the economy, and life in general is extremely deep (and useful).<br/>However, I don't buy the naturalistic philosophy which undergirds much of his writings. He presents this view as a fact, misleading readers in wholesale; except that the philosophy he espouses is riddled with too many fallacies, some of which I have written about here. http://bifarinthefifth.com/philosophical-morsels-do-you-believe-in-anything-supernatural/<br/> ",1
18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,,1400044162,5,4.31,Knopf,Hardcover,433,2006,2006,2018,11/7/18,10/8/18,,,read,"War and Love. Perhaps they are one of the same kind. Chimamanda wrote this book well. A Nigerian Civil War(Biafra) hybridized with love stories, and a deep African aura. Just plain beautiful. Now I have to read about the Biafra war of which I (embarrassingly)  know very little.",1
505556,Death and the King's Horseman: A Play,Wole Soyinka,,393322998,0,3.76,W. W. Norton  Company,Paperback,80,2002,1975,,,11/2/18,to-read,to-read (#106),to-read,,0
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin Liu, Ken Liu",765377063,0,4.06,Tor Books,Hardcover,399,2014,2008,,,11/2/18,to-read,to-read (#105),to-read,,0
29746976,Make Your Own Neural Network,Tariq Rashid,,,0,4.35,,Kindle Edition,252,2016,,,,10/31/18,to-read,to-read (#104),to-read,,0
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,Dana Mackenzie,046509760X,0,3.96,Basic Books,Hardcover,432,2018,2018,,,10/19/18,to-read,to-read (#103),to-read,,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,,451485076,0,4.06,Random House Audio Publishing Group,Audio CD,384,2017,2017,,,10/19/18,to-read,to-read (#102),to-read,,0
34272471,"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,Richard Davidson,399184384,0,3.9,Avery Publishing Group,Hardcover,336,2017,,,,10/11/18,to-read,to-read (#101),to-read,,0
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,,307887898,0,4.07,Currency,Hardcover,299,2011,2011,,,10/1/18,to-read,to-read (#100),to-read,,0
4522396,The Myths and Legends of Ancient Greece and Rome,E.M. Berens,,893410292,0,3.69,Longwood Press,Unknown Binding,334,1979,1880,,,9/25/18,to-read,to-read (#99),to-read,,0
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,,1594205221,0,3.96,Penguin Press,Hardcover,480,2014,2014,,,6/11/15,to-read,to-read (#98),to-read,,0
2609229,The Twenty Greatest Philosophy Books,James Garvey,,826490549,5,3.62,Bloomsbury Academic,Paperback,208,2006,2006,2018,9/23/18,5/28/18,,,read,"An aerial view of western philosophy, a taste of the bests. ",1
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,,1594205078,0,4.41,Penguin Press,Hardcover,790,2017,2017,,,9/23/18,to-read,to-read (#97),to-read,,0
